암호화요양기호,요양기관명,위치_공공건물(장소)명,위치_방향,위치_거리,주차_가능대수,주차_비용 부담여부,주차_기타 안내사항,휴진안내_일요일,휴진안내_공휴일,응급실_주간_운영여부,응급실_주간_전화번호1,응급실_주간_전화번호2,응급실_야간_운영여부,응급실_야간_전화번호1,응급실_야간_전화번호2,점심시간_평일,점심시간_토요일,접수시간_평일,접수시간_토요일,SunStart,SunEnd,MonStart,MonEnd,TuesStart,TuesEnd,WedStart,WedEnd,ThursStart,ThursEnd,FriStart,FriEnd,SatStart,SatEnd
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,김동훈한의원,,,,10,N,한양주차장 1시간 무료,전부 휴진,휴진,N,,,N,,,12시30분~14시00분,,9시30분~18시10분,9시30분~13시40분,,,0930,1830,0930,1830,0930,1830,1400,1830,0930,1830,0930,1410
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,소문한의원,,,,6,N,한의원  건물뒤에    위치함.,휴무,휴무,N,,,N,,,12:30 - 14:00,,,,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,세유한의원,,,,,,,,,N,,,N,,,01-02시,,,,,,0920,1850,0920,1850,0920,1850,0920,1850,0920,1850,0920,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ4MiQzNjEwMDIjNjEjJDEjJDgjJDgz,행림한의원,동래롯데백화점,주차장 입구 맞은 편,10m,10,N,진료1시간 무료,휴무,휴무,N,,,N,,,13시00분~14시00분,,09시 30분~18시 00분,09시 30분~13시 00분,,,0930,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,이혜진한의원,,,,1,N,,,,N,,,N,,,13시00분-14시30분,,09시00분-18시00분,09시00분-14시30분,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,남궁한의원,망미주공APT,맞은편,150m,30,N,하나정형외과 옆 대진주차장 무료 이용,휴진,09:00~18:30,N,,,N,,,13:00~14:30,,09:00~18:30,09:00~13:00,,,0900,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,소생한의원,용호동 부산은행 사거리,LG메트로방향,200m,6,N,서현빌딩뒷편 주차장 만차시 빌딩지나서 골목안 진주주차장 천원 지원,휴진,휴진,N,,,N,,,12:30~14:00,없음,09:00~19:00,09:00~14:00,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,이승하한의원,,,,10,N,,전부휴진,전부휴진,N,,,N,,,12시30분~14시,,,,,,0930,1800,0930,1800,0930,1800,1400,1800,0930,1800,0930,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzQxIyQyIyQ3IyQwMCQ0NjE0ODEjODEjJDEjJDYjJDgz,내몸편안한의원,서면 롯데백화점,맞으편 빠리바게트 5층,지하상가몰 3번출구,,,,휴진,휴진,N,,,N,,,12시 30분 ~ 13시 00분,12시 30분 ~ 13시 00분,09시 50분 ~ 17시 40분,09시 50분 ~ 17시 40분,0000,0000,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ2MiQzNjE4MzIjNDEjJDEjJDgjJDgz,대운한의원,좌2동 우체국,우체국 맞은편,약 5m,10,N,지하주차장에 주차하기가 약간 힘듬.,전부 휴진. 예약 환자 진료.,오후 5시 이후,N,,,N,,,12시30분 ~ 14시00분,12시30분 ~ 14시00분,,,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,초심한의원,부산은행,2층,,3,N,한의원 주위 대우그린아파트 무료주차,점심시간없이 진료,휴무,N,,,N,,,12시30분 ~ 오후 2시,점심시간없음,9시 30분 ~18시30분,오전 9시30분~ 오후 1시30분,0930,1400,0930,1900,0930,1900,0930,1900,1400,1900,0930,1900,0930,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,김승한의원,,,,2,N,버스 종점앞 대신주차장에 주차하고 주차권 가져오면됩니다.,휴진,오후 1시 이후,N,,,N,,,,,오전9시 - 오후7시,오전9시 -  오후5시,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,전란희한의원,전란희한의원 (해동빌딩 2층),미즈웰 산부인과 신관조리원 옆 미즈임부복 2층,,0,N,,휴진,휴진,N,,,N,,,12시30분 ~ 1시30분,점심시간없이 13시까지,9시 ~ 17시30분,9시 ~ 12시30분,,,0900,1800,0900,1800,0900,1800,0900,1300,0900,2100,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQzNjE4MzIjNjEjJDEjJDQjJDgz,소리청한의원,,,,10,N,건물 주차장이나 건물 뒷편 우주주차장 이용하세요. 1시간무료입니다.,휴진,오전 10시부터 오후 3시까지 진료,N,,,N,,,오후 1시 - 오후 2시30분,,오전 10시 - 오후 6시30분,오전 10시 - 오후 2시30분,,,1000,1900,1000,1900,,,1000,1900,1000,1900,1000,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,우리가족한의원,,,,,,,,,N,,,N,,,13시00분~14시00분,,09시00분~18시30분,09시00분~14시00분,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQwMyQzNjE4MzIjNDEjJDEjJDQjJDgz,한샘한의원,광혜학원 2층(광명빌딩),"수정초등학교 정문에서 보건소, 동구청 방향",70m,5,N,,휴진,9시~17시,N,,,N,,,13시~14시,13시~14시,9시~18시30분,9시~16시30분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,경세민한의원,장산역 NC백화점 맞은 편,,100m,100,Y,건물 내 지하주차장 2시간 무료,전부 휴진,,N,,,N,,,,,9시30분~18시00분,9시30분~16시00분,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,창해한의원,농협구서동지점,옆 건물 4층,2미터,20,N,농협 옆 제일주차장,휴진,휴진,N,,,N,,,13시-14시30분,13시-14시30분,09시00분-18시30분,09시00분-13시30분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,효당한의원,부산 금정구 부곡동 부곡시장 입구 새마을금고(부곡동 지점) 맞은편,맞은편,10m,10,N,부곡시장 입구 '시장횟집' 주차장 & 부곡동 공영주차장(1시간 무료),휴진,"휴진(단, 대체공휴일 및 임시공휴일은 오후2시까지)",N,,,N,,,13시00분~14시00분,점심시간 따로 없이 진료합니다.,09시00분~19시00분,09시00분~14시00분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5MiQzNjEyMjIjODEjJDEjJDIjJDgz,김용덕한의원,,,,20,N,,휴무,9:30~16:00,N,,,N,,,,,,,,,0930,1930,0930,1930,0930,1930,1200,2130,0930,1930,0930,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,곽상호한의원,부산박물관,,,4,N,,휴진,9시30분~2시30분(점심시간 없이),N,,,N,,,1시~2시(12시30분까지 접수),없음,9시30분~6시30분,9시30분~2시30분,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQyIyQxIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,경주한의원,온천입구 사거리(현대병원 사거리),시싯골 방향,,,,,,,N,,,N,,,12시30분~14시00분,,,,,,0930,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1230
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,다선한의원,,,,4,N,,휴무,휴무,N,,,N,,,13시00분~14시30분,13시00분~14시30분,09시30분~18시00분,09시30분~16시00분,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,소전경희한의원,"장림삼거리, 장림초등학교 옆 다비치안경 2층",,,,,,전부 휴진,,N,,,N,,,13시~14시,13시~14시,09시 30분~18시 30분,09시 30분~15시 30분,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz,부산영천손한의원,엑슬루타워,맞은편,,0,N,부산영천손한의원에서 경성대방향 풍천민물장어집 우측,휴진,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNDEjJDEjJDQjJDgz,시선한의원,동래경찰서,동래경찰서 후문 맞은 편,도보 1분,20,N,주차장 이름 : GS타임즈,휴진,휴진,N,,,N,,,오후 13:00~ 14:00,점심시간 없이 진료,"월,화,목,금 : 10:00~19:00 / 수:14:00~19:00",10:00~14:00,,,1000,1900,1000,1900,1400,1900,1000,1900,1000,1900,1000,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNzEjJDEjJDgjJDgz,온정한의원,온천신협,북쪽,30미터,2,N,,전부 휴진,전부 휴진,N,,,N,,,12시30분~13시30분,,,,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,드림한의원,,,,,,,전부 휴진,전부 휴진,N,,,N,,,13시 30분~14시 30분,,10시 00분~18시00분,10시 00분~13시00분,,,1000,1830,1000,1830,,,1000,1830,1000,1830,1000,1330
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,장산한의원,우2동 주민센터 맞은편,길 건너 건물,2분 거리,2,N,,휴진,,N,,,N,,,13시00분~14시00분,없음.,09시00분~17시00분,09시00분~14시00분,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,남천한의원,,,,45,Y,진료 1시간 무료,휴진,,N,,,N,,,14시00분~15시00분,,10시00분~19시00분,10시00분~14시00분,,,1000,1900,1000,1900,1000,1900,1500,1900,1000,1900,1000,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz,선하한의원,,,,,,,전부 휴진,전화문의,N,,,N,,,13시00분~14시00분,13시00분~14시00분,9시30분~18시00분,9시30분~15시00분,,,0930,1900,0930,1900,0930,1900,,,0930,1900,0930,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNjEjJDEjJDAjJDgz,푸른솔한의원,국민은행 범일동지점 건너편,,,30,N,진료 1시간 무료,전부 휴무,오후 4시 이후,N,,,N,,,13시00분~ 14시00분,13시00분~14시00분,09시 ~ 19시,09시 ~ 16시,,,0900,,0900,1900,0900,1900,0900,1300,0900,1900,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,생기한의원,,,,,,,전부 휴진,전부 휴진,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz,웰니스한의원,재송동 보라스카이 5층,,,10,N,건물 상가 지하주차장 사용 가능,휴진,공휴일 진료,N,,,N,,,오후 1시~오후 2시,오후 1시~오후 2시,오전 9시~오후6시 30분,오전 9시~오후 4시 30분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,고현한의원,,,,,,,전부 휴진,전부 휴진,N,,,N,,,13시 00분~14시 30분,,09시 00분~18시 30분(접수마감 18시 00분),09시 00분~13시 00분(접수마감 12시 30분),,,0900,0630,0900,0630,0900,0630,0900,0630,0900,0630,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,가온누리한의원,,,,0,N,1시간 무료,전부휴진,전부휴진,N,,,N,,,"월,화,목,금 13:00~14:00, 수요일 18:20~19:00",,,,,,1000,1800,1000,1800,1400,2100,1000,1800,1000,1800,1000,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNzEjJDEjJDgjJDgz,일광한의원,일광면사무소,면사무소 전방,200M,10,N,,휴무,국가공휴일 휴진,N,,,N,,,13시00~14시00,,09시00분~18시30분,09시00분~15시30분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,편작한의원,초량3동주민센터,대각선 맞은편,100,10,N,,3시이후,5시이후,N,,,N,,,1시-2시,1시-2시,9시-18시,9시-16시30분,0900,1500,0900,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,안국한의원,"시내버스 사하전화국앞 하차, 지하철 1호선 사하역 2번출구",괴정4 파출소 -> 복개도로,약 200m,3,N,공용 주자창 사용중이며 최대 6대 주차 가능하고 평균 3대 정도 주차 가능함.,전부 휴진,오후 5시 이후 휴진 (진료: 오전 9시 ~ 오후 5시),N,,,N,,,12시30분~14시00분,12시30분~14시00분,09시00분~19시00분,09시00분~17시00분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDYjJDgz,청아인한의원,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,대추나무한의원,,,,,,,전부 휴진,전부 휴진,N,,,N,,,12시30~14시00분,점심시간 없음,,,,,0930,1800,0930,2000,0930,1800,0930,2000,0930,1800,0930,1330
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,강윤호한의원,청학동 부산은행,한진중공업 방향,20m,0,N,병원에서 태종대방면 약100m  천지 해오름 아파트,오후 5시 이후,오후 5시 이후,N,,,N,,,pm1 ~ pm2,,am9 ~ pm12:30,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQwMyQzNjEyMjIjNDEjJDEjJDQjJDgz,삼동한의원,,,,100,N,구포3동 공영주차장이용(한의원 맞은편 모서리),휴진,휴진,N,,,N,,,13시00분~14시00분,,09시00분~19시 00분,09시00분~13시 00분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,김민수한의원,,,,20,N,진료시간내 무료,휴무,휴무,N,,,N,,,1시~2시 30분,1시~2시 30분,9시30분~6시30분,9시 30분~3시30분,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjNjEjJDEjJDAjJDgz,김수철한의원,동래소방서 관할 양정 119센터 옆,지하철1호선 양정역 4번 출구,,2,N,,전부 휴진,전부 휴진,N,,,N,,,12:30 ~ 13:30,12:30 ~ 13:30,9:30 ~ 18:30,9:30 ~ 14:30,,,0930,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1430
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,신농한의원,국민은행,정문에서 나올 때 우측,바로 옆 건물 현호타워 3층,50,N,,전부 휴진,전부 휴진,N,,,N,,,13시 00분-14시 00분,,09시 30분-18시 30분,09시 30분-18시 30분,,,0930,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjODEjJDEjJDIjJDgz,상화한의원,,,,10,Y,"진료시간1시간무료...건물지하주차장, 또는 골든프라자주차장사용 가능",전부휴진,전부휴진,N,,,N,,,12시30분~2시,13시00분~14시00분,,,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,심재원한의원,,,,100,Y,진료시간 무료(최대 2시간),격주,,N,,,N,,,13시00분~14시30분,13시00분~14시30분,,,1000,1400,0930,1900,0930,1900,0930,1900,,,0930,1900,0930,1900
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,365동백한의원,해운대비스타동원아파트 상가,,,30,N,,전부휴진,"진료(1월1일, 어린이날, 성탄절 휴진)",N,,,N,,,12시30분~14시00분,"토요일, 공휴일은 점심시간없이 진료함",9시00분~18시30분,9시00분~13시30분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,청림한의원,3호선 미남역 1번 출구,사직동 방향,70m,,,"한의원 옆 국민은행 건물 현대 주차장, 한의원 뒤 예림 주차장,,,1시간 무료",전부 휴진,전부 휴진,N,,,N,,,12시30분~14시00분,,09시00분~18시00분,09시00분~12시30분,,,0900,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,다산미즈한의원,부산 서면 롯데백화점 후문,좌측,주차 타워 입구 1m,,,공영주차장 이용안내,"휴진, 목요일 휴진",오전 10시 ~오후 3시 점심시간 없이 진료,N,,,N,,,오후 1시 ~2시까지,점심시간 없이 진료,오전 10시 ~오후 7시,오전 10시~ 오후 3시,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,현앤정일침한의원,국민연금관리공단,연산로타리방향,300M,30,N,건물뒤 사설 일성주차장 1시간무료,휴무,휴무,N,,,N,,,13시00분~14시00분,점심시간없음,,,,,0830,1800,0830,1800,1300,2000,0830,1800,0830,1800,0830,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjE4MzIjNTEjJDEjJDIjJDgz,바른해인한의원,바른해인한의원,금정초등학교 인근,,3,N,,전부 휴진,전부 휴진,N,,,N,,,1:00 - 2:00,,"평일 09시30분~18시30분, 목요일(오전) ~13시",09시30분~13시,,,0930,1830,0930,1830,0930,1830,0930,1300,0930,1830,0930,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,물만골한의원,장전동 어린이놀이터,맞은편,바로앞,,,,휴무,,N,,,N,,,12:40~14:00,12:40~14:00,,,,,0930,1900,0930,2000,0930,1900,0930,2000,0930,1900,0930,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,나무한의원,하나인치과1층,명장역 2번출구,30m,,,야간진료없음,휴진,진료09시00-오후1시,N,,,N,,,12:30-2:00,점심시간없음,오전09시30-오후19시00분,오전 9:00-오후1시,0000,0000,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ5MiQzNjEwMDIjNTEjJDEjJDYjJDgz,효원한의원,사직동 쌍용예가 1차 농협,3층,,0,N,,전부 휴진,전부 휴진,N,,,N,,,13시00분~14시00분,,,,,,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,일맥한의원,,,,,,,전부 휴진,전부 휴진,N,,,N,,,13:00~14:30,,10:30~21:00,10:30~15:00,,,1030,2030,1030,2030,,,1030,2030,1030,2030,1030,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,이정원한의원,영도 스타벅스옆,,,12,N,,,전부휴진,N,,,N,,,월 수 목 12시30분~14시00분,토요일 12시30분~14시00분,월 수 목 09시00분 ~17시00분,토요일 09시00분 ~16시00분,0900,1600,0900,1700,,,0900,1700,0900,1700,,,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,명한의원,북구 보건소,"산성, 126번 종점 방향",100m 이내,10,N,북구보건소 옆 화명주차장이 지정주차장입니다. 주차도장과 시간을 적어가시면 무료주차 가능합니다.,전부휴진,오후 3시이후,N,,,N,,,12;30~14;00,"화요일,토요일 점심시간없이 진료","09시30분 ~ 19시00분 (단, 목요일 휴진)/화요일 오후3시마감",09시00분~ 15시00분,,,0930,1900,0930,1500,0930,1900,,,0930,1900,0930,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz,덕천한의원,,,,,,,휴무,오후3시까지진료.,N,,,N,,,13시00분~14시00분,점심시간없이오후3시까지진료.,,,,,0900,2100,0900,1900,0900,1900,0900,2100,0900,1900,0900,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,제민한의원,현대백화점과 부산진시장 사이,,,10,N,한의원 건너편 금탑주차장 주차시 1시간 지원,휴무,09:00-14:00,N,,,N,,,13:00-14:00,없음,공란,,,,0900,1900,0900,1900,0900,1300,0900,1900,0900,1900,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE4MzIjNjEjJDEjJDAjJDgz,산삼한의원,대연역,1번출구,150m,89,N,한의원 건물 주차시설 이용,오후 3시 이후,오후 3시 이후,N,,,N,,,13시00분~14시00분,점심시간 없음,09시30분~19시30분,09시30분~14시30분,0930,1500,0930,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjNjEjJDEjJDgjJDgz,초읍해맑은한의원,,초읍동 33번버스 종점 밑(1분거리),,,,,휴진,휴진,N,,,N,,,오후1시~2시,오후1시~2시,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,나비솔한의원,웅신시네아트(장산역 롯데시네마 극장이 있는 건물),"장산역 5,7번출구",30m 이내,0,N,"네비게이션 주소창에 해운대구 해운대로 802 ""웅신시네아트 주차장""으로 검색",전부휴진,9시 30분~ 2시 까지 근무,N,,,N,,,13시00분~14시00분,,9시 20분부터 17시 50분까지,9시 20분부터 13시 50분까지,,,0930,1800,0930,2000,,,0930,2000,0930,1800,0930,1400
